अगर agar
छोड़ CoD
जगह jagah
जगहों jaghoq
जटिल jaटil
जब jab
जरूरत jarUrat
जवाब jawAb
जहां jahAq
जा jA
जाए jAE
जाएगा jAEgA
जाएगी jAEgI
जाके jAkE
जाता jAtA
जाते jAtE
जानकारी jAnkArI
जानते jAntE
जानना jAnnA
जानने jAnnE
जाना jAnA
जाहिर jAhir
जांच jAqc
जाँच jAMc
जिनकी jinkI
जिन्हें jinhEq
जिन्होंने jinhoqnE
जिस jis
जिसका jiskA
जिसे jisE
जीवन jIwan
जे jE
जेड jEड
जैसा jऐsA
जैसे jऐsE
जो jo
जोड़ joD
जोड़ते joDtE
जोड़ा joDA
जोड़ी joDI
टाइप टAip
टाइम टAim
टास्क टAsk
टीम टIm
टू टU
ट्रू टrU
ठीक ठIk
ठोस ठos
डाटा डAटA
डाल डAl
डालें डAlEq
डिश डiश
डी डI
डेटा डEटA
ढूंढते ढUqढatE
ढंग ढaqg
तक tak
तथ्य taथy
तब tab
तभी taBI
तरह tarah
तरीका tarIkA
तरीके tarIkE
तरीकों tarIkoq
तर्क tark
ताकि tAki
तिरसठ tirsaठ
तीन tIn
तुलना tulnA
तैयार tऐyAr
तो to
तौर tऔr
था थA
थे थE
थोड़ा थoDA
थोड़े थoDE
दर्शाते darशAtE
दर्शाने darशAnE
दस das
दाईं dAIq
दायरे dAyrE
दिए diE
दिखाई diखAI
दिन din
दूसरा dUsrA
दूसरी dUsrI
दूसरे dUsrE
दृश्यों dRशyoq
देख dEख
देखता dEखtA
देखते dEखtE
देखना dEखnA
देखा dEखA
देखे dEखE
देखें dEखEq
देखेंगे dEखEqgE
देता dEtA
देती dEtI
देते dEtE
देना dEnA
देने dEnE
दें dEq
देंगे dEqgE
दो do
दोनों donoq
दोहराए dohrAE
द्वारा dwArA
धारणा धArणA
ध्यान धyAn
न na
नए nE
नज़र nazar
नम्बर nambar
नया nayA
नहीं nahIq
ना nA
नाइन nAin
नामक nAmak
निकाल nikAl
निकाला nikAlA
निर्देश nirdEश
निर्भर nirBar
निर्माण nirmAण
निश्चित niशcit
निष्कर्ष niषkarष
ने nE
नेम nEm
नौ nऔ
नंबर naqbar
नंबरों naqbaroq
पकाने pakAnE
पच्चीस paccIs
पड़ता paDtA
पढ़ paT
पढ़ने paTnE
पढ़ा paTA
पता patA
पर par
परन्तु parantu
परवाह parwAh
परसेंट parsEqट
परिचित paricit
परिभाषा pariBAषA
परिभाषित pariBAषit
परीक्षण parIkषaण
पर्याप्त paryApt
पहचान pahcAn
पहला pahlA
पहली pahlI
पहले pahlE
पा pA
पाइथन pAiथan
पाएंगे pAEqgE
पाठ्यक्रम pAठyakram
पाते pAtE
पार pAr
पावर pAwar
पास pAs
पांच pAqc
पाँच pAMc
पिछली piClI
पिछले piClE
पुराना purAnA
पुराने purAnE
पूछते pUCtE
पूरा pUrA
पूरी pUrI
पेशकश pEशkaश
पॉइंट pऑiqट
पॉजिटिव pऑjiटiw
पंक्ति paqkti
पंक्तियों paqktiyoq
प्रकार prakAr
प्रक्रिया prakriyA
प्रतिदिन pratidin
प्रतिपादन pratipAdan
प्रतीत pratIt
प्रत्येक pratyEk
प्रयास prayAs
प्रस्तुत prastut
प्राप्त prApt
प्रोग्राम progrAm
प्रोग्रामिंग progrAmiqg
प्रोग्राम्स progrAms
प्रोसेसर prosEsar
प्लस plas
फिर Pir
फेंक PEqk
फैक्टर Pऐkटar
फोन Pon
फंक्शन Paqkशan
फंक्शन्स Paqkशans
बचा bacA
बजाय bajAy
बड़ा baDA
बड़ी baDI
बड़े baDE
बढ़ा baTA
बताता batAtA
बदलना badalnA
बद्ध badध
बनाती banAtI
बनाते banAtE
बराबर barAbar
बल्कि balki
बशर्ते baशartE
बहुत bahut
बाई bAI
बाईं bAIq
बात bAt
बातों bAtoq
बाद bAd
बार bAr
बारह bArah
बारी bArI
बारे bArE
बिट biट
बिना binA
बिल्कुल bilkul
बिंदु biqdu
बी bI
बीच bIc
बुक buk
बुकिंग bukiqg
बेशक bEशak
बेसिक bEsik
बेहतर bEhtar
ब्रैकेट brऐkEट
भले BalE
भाषाओं BAषAoq
भी BI
भोला BolA
मतलब matlab
मनमाने manmAnE
मशीन maशIn
महत्वपूर्ण mahatwapUrण
महसूस mahsUs
माइनस mAinas
मामले mAmlE
मार्क्स mArks
मिलता miltA
मिलना milnA
मिलेगा milEgA
मुख्य muखy
मुझे muJE
मुश्किल muशkil
मूल mUl
मेल mEl
में mEq
मैं mऐq
मौजूदा mऔjUdA
मंच maqc
यदि yadi
यह yah
यहां yahAq
यहाँ yahAM
यही yahI
यहीं yahIq
या yA
यात्रा yAtrA
याद yAd
यूनिफार्म yUniPArm
ये yE
योग्य yogy
रखने raखnE
रखें raखEq
रहना rahnA
रहा rahA
रहे rahE
रहेगा rahEgA
रिमाइंडर rimAiqडar
रूप rUp
रेखा rEखA
रेंज rEqj
लक्ष्य lakषy
लग lag
लगभग lagBag
लगा lagA
लाइन lAin
लिए liE
लिख liख
लिखते liखtE
लिखना liखnA
लिखने liखnE
लिखा liखA
लिखी liखI
लिखें liखEq
लिस्ट lisट
ले lE
लेकिन lEkin
लेता lEtA
लेना lEnA
लेने lEnE
लें lEq
लैंग्वेज lऐqgwEj
लॉन्ग lऑng
लोग log
लोगों logoq
लौटाना lऔटAnA
लंबा laqbA
वन wan
वफादार waPAdAr
वर्ड warड
वर्णन warणan
वर्णित warणit
वर्तनी wartanI
वर्तमान wartamAn
वह wah
वही wahI
वाई wAI
वापस wApas
वाला wAlA
वाले wAlE
वास्तव wAstaw
विचार wicAr
विभिन्न wiBinn
विवरण wiwraण
विशिष्ट wiशiषट
विशेष wiशEष
विशेषज्ञता wiशEषajञatA
विशेषताएं wiशEषtAEq
विस्तार wistAr
विस्तारित wistArit
विस्तृत wistRt
वे wE
व्यक्ति wyakti
व्यवस्था wyawasथA
व्यवस्थित wyawasथit
व्याख्यान wyAखyAn
शब्द शabd
शब्दों शabdoq
शर्त शart
शहर शahar
शामिल शAmil
शायद शAyad
शीट शIट
शुरुआत शuruAt
शुरू शurU
शून्य शUny
शेष शEष
शॉर्टकट शऑrटakaट
सकता saktA
सकती saktI
सकते saktE
सकूं sakUq
सकें sakEq
सक्षम sakषam
सचमुच sacmuc
सजावट sajAwaट
सफाई saPAI
सबसे sabsE
सभी saBI
समझ samaJ
समझने samaJnE
समझाने samJAnE
समय samay
समान samAn
समाप्त samApt
समारोह samAroh
समूह samUh
सरल saral
सवाल sawAl
सही sahI
साइट sAiट
साठ sAठ
सात sAt
साथ sAथ
सामान्य sAmAny
सामूहिक sAmUhik
सारे sArE
सिर्फ sirP
सिवाय siwAy
सिंगल siqgal
सी sI
सीक्वेंस sIkwEqs
सीखने sIखnE
सीखेंगे sIखEqgE
सुझाव suJAw
सुधार suधAr
सुनिश्चित suniशcit
सुविधाओं suwiधAoq
सूचनाओं sUcnAoq
सूचीबद्ध sUcIbadध
से sE
सेट sEट
सेल sEl
सोच soc
सोचते soctE
सौभाग्य sऔBAgy
संकेत saqkEt
संख्या saqखyA
संग्रह saqgrah
संतुष्ट saqtuषट
संदर्भ saqdarB
संदेशों saqdEशoq
संपत्ति saqpatti
संबंध saqbaqध
संभव saqBaw
संभावनाएं saqBAwnAEq
संभावित saqBAwit
संशोधित saqशoधit
स्कूल skUl
स्क्वायर skawAyar
स्टार sटAr
स्टेप sटEp
स्टोर sटor
स्ट्रक्चर sटarakcar
स्ट्रक्चर्स sटarakcars
स्तर star
स्तरों staroq
स्थापित sथApit
स्पष्ट spaषट
स्लाइड slAiड
स्वागत swAgat
हम ham
हमने hamnE
हमारा hamArA
हमारी hamArI
हमारे hamArE
हमेशा hamEशA
हमें hamEq
हर har
हल hal
हाई hAI
हाथ hAथ
हालांकि hAlAqki
हासिल hAsil
हां hAq
हिस्सा hissA
ही hI
हुए huE
हूं hUq
है hऐ
हैं hऐq
हॉल hऑl
हो ho
होगा hogA
होगी hogI
होता hotA
होती hotI
होते hotE
होना honA
होने honE
हों hoq
होंगे hoqgE
अपेण्ड apEणड
अरिथमेटिकली ariथmEटiklI
अल्गोरिथम algoriथam
अल्गोरिथ्मिक algoriथmik
अल्गोरिथ्म्स algoriथms
असाइन asAin
असेंडिंग asEqडiqg
आइटम्स Aiटams
आर्गुमेंट ArgumEqट
आर्ग्यूमेंट्स ArgyUmEqटs
इक्वालिटी ikwAliटI
इनफार्मेशन inPArmEशan
इंग्रेडिएंट्स iqgrEडiEqटs
इंडेंटेड iqडEqटEड
इंतेजरस iqtEjras
इंस्ट्रक्शंस iqsटrakशaqs
एक्सेक्यूट EksEkyUट
एम्प्टी EmpटI
एलिमेंट ElimEqट
एल्गोरिथ्म Elgoriथm
एल्गोरिदम Elgoridam
एल्गोरिद्मिक Elgoridmik
एव्री EwrI
ऑप्टिमम ऑpटimam
ऑप्टिमाइजेशन ऑpटimAijEशan
ऑर्डर्स ऑrडars
कम्प्यूट kampyUट
कम्प्यूटेशन kampyUटEशan
कम्प्यूटेशनल kampyUटEशnal
कलेक्शंस kalEkशaqs
कहेगा kahEgA
कॉस्ट kऑsट
कोलोन्स kolons
कंडीशनल kaqडIशnal
कंप्यूट kaqpyUट
कंप्यूटिंग kaqpyUटiqg
कंप्यूटेशन्स kaqpyUटEशans
क्लोज्ड klojड
क्वांटिटी kwAqटiटI
गिनते gintE
गुजरते gujartE
गुज़रे guzrE
ग्रेटेस्ट grEटEsट
चुनें cunEq
चैस cऐs
जारगन jArgan
जांचता jAqcatA
जीसीडी jIsIडI
जोड़ता joDtA
जोड़ें joDEq
ट्रैक्टेबल टrऐkटEbal
डिफाइन डiPAin
डिफ़ाइन डifAin
डिवाइज़र डiwAizar
डिवाइज़र्स डiwAizars
डिवाइड डiwAiड
डिवाइडेड डiwAiडEड
डिवीज़न डiwIzan
डेफ डEP
डेफिनिशन डEPiniशan
डेस्केन्डिंग डEskEnडiqg
डॉक्यूमेंट डऑkyUmEqट
दिवाइड्स diwAiडs
नेम्स nEms
नंबर्स naqbars
न्यूमेरिकल nyUmErikal
परसेंटेज parsEqटEj
पायथन pAyथan
पुनउपयोग punaupyog
पुनर्गठित punargaठit
पुनर्व्यवस्थित punarwyawasथit
पॉइंट्स pऑiqटs
पोसिशन posiशan
पोसिशन्स posiशans
पंक्चुएशन paqkcuEशan
प्रोब्लेम्स problEms
फाइनाइट PAinAiट
फैक्टर्स Pऐkटars
फैक्टर्सों Pऐkटarsoq
बिल्टइन bilटain
ब्रैकेट्स brऐkEटs
मनिप्युलेट manipyulEट
मिनिमम minimam
मेंट mEqट
मैनिपुलेट mऐnipulEट
राइटमोस्ट rAiटmosट
रुकेंगे rukEqgE
रुट ruट
रेसिपी rEsipI
लिमिट limiट
लिस्ट्स lisटs
लौटाएं lऔटAEq
वन्थ wanथ
वैल्यू wऐlyU
वैल्यूज wऐlyUj
वैल्यूों wऐlyUoq
सब्जेक्टिव sabjEkटiw
सिंटेक्स siqटEks
सिंटैक्टिक siqटऐkटik
सिंटैक्स siqटऐks
सुडोकु suडoku
सूचियों sUciyoq
सॉर्टेड sऑrटEड
संख्याओं saqखyAoq
स्टेटमेंट्स sटEटmEqटs
स्टेप्स sटEps
स्प्रेड sparEड
